,date,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
2136,2021-07-19 23:27:47,Jane31009822,,,20,0,3269,0,"@RepMariaSalazar Find it sad and ironic that the GQP is so concerned about Cuba but ignored Puerto Rico after the hurricane, refuse to support the badly needed infrastructure bill, and support racism and white supremacy here.",[]
2137,2021-07-19 23:27:44,WillemHilton8,Adapt/Apply,,102,4,2806,0,Marco Rubio warns Russia could be on the move in Cuba https://t.co/xTXn3Bnuoz via @YouTube,[]
2138,2021-07-19 23:27:43,InFluEnza1918,Beard enthusiast. Music fanatic. Wearer of flannel. Smells faintly of old books. Art and character account: @anara_the_dhole,Michigan,1504,98,3740,0,"@_Rewhan After Biden never showed any indication of launching a bloody military invasion of Cuba, looks like AOC was spot on.",[]
2139,2021-07-19 23:27:42,GotMeLikeHa,"Funny online, boring IRL. Sometimes i doodle
 https://t.co/4bWQSeVhAX #blacklivesmatter ✊🏾",exploring the universe,1161,138,21924,97,"@hyperrrrnormal I am BEGGING people to use any search engine but Google. Even Bing is a better alternative. Do an experiment yourself, try a controversial topic (US coups, Cuba, trans-Atlantic slave trade, etc.) and see the difference",[]
2140,2021-07-19 23:27:42,Soldier_Cynic,"The last defense of liberty is the people #CivilRights are not a zero-sum game. LBGTQI Ally 🏳️‍🌈. We are better than this. #Beer, #books, and the #OxfordComma","Texas, USA",4988,3546,62296,0,@marcorubio @POTUS Have you considered going to Cuba to help the protesters organize?,[]
2141,2021-07-19 23:27:40,MarySmi36126717,"Walk toward the fire.
America First",,2378,321,105498,52,"#NikoleHannahJones, the leading author of @NYTimes’ controversial #1619Project, came under fire after comments she made in 2019 about #Socialism making #Cuba one of “the most equal” nations in the world was unearthed. https://t.co/LkLeEBYo9m","['NikoleHannahJones', '1619Project']"
2142,2021-07-19 23:27:40,ivydrosos,,,1141,2057,57784,2,"good afternoon, pls remember to keep ur hands off of cuba and check in on ur cuban friends/friends who have family in cuba 🥰",[]
2143,2021-07-19 23:27:39,MickeyTulip,"Shakespearean canine fool/pet for Alexis Villamar-R&D exec in medical tech, Columbia U GSAS alumna, lecturer, Comparative Literature, culture analyst, photoG","Palo Alto, CA",2129,450,57591,0,"#BLM supports #tyranny: But what has triggered the revolt is ‘’#Cuba’s systemic denial of rights to its people of all color, poor material conditions, lack of social mobility, and the inequality that plagues all Cubans but disproportionately Afro-Cubans’’  https://t.co/2pTKXwCKLi","['BLM', 'tyranny', 'Cuba']"
2144,2021-07-19 23:27:39,missreadit,I will never be able to understand the stupidity of the human race. #SOSCUBA  Readers live a million lives before they die. #Thebronzehorseman ❤ #Outlander ❤,miami fl,435,629,10947,72,My cousins in #Cuba are prisoners  detained by the communist secret police. Their only crime is asking for freedom in the massive protests last week. We don't know where they are. Their wives and children are suffering deeply. Please help 🆘🇨🇺! #SOSCuba https://t.co/Bd2c4oLiw5,['Cuba']
2145,2021-07-19 23:27:38,NJVasquez125,"Just another American citizen. 🇺🇸🇺🇸 retweets  a lot,  election was stolen, TRUMP WON",,624,285,12142,32,LIVE in Toronto: A group of protestors waving pro-socialism flags are saying “hands off Cuba!” while calling for an end to the embargo. Anti-communism Cuban protestors are counter-protesting nearby. https://t.co/IhsibnNuc6,[]
2146,2021-07-19 23:27:38,hmandirola,"#Medico #Doctor #PhD EN #MedicinaInterna #HL7 #FHIR #MIRTH #Estandares #InformaticaMedica, #participacionciudadana  @FichaLimpia #Liberté #égalité #Fraternité",Buenos Aires Argentina,5006,1234,126246,123,@yoanisanchez writes: The New Generation of Cubans Who Won’t Be Silenced https://t.co/SuctzvTcwO,[]
2147,2021-07-19 23:27:37,DownWithDuopoly,"Political junkie🌹, cook, dog dad, avid DDR player #NoComradesUnder1k #DefundThePolice #ForceTheVote","Philadelphia, PA",1966,1146,6102,0,"@skeeboro @Plastic_Villain @ryangrim So it’s extremely dishonest to mock people talking about US militarism against Cuba as people that are dishonest and don’t have genuine concerns.

I can’t believe I had to explain this to you. 🙄",[]
2148,2021-07-19 23:27:37,ngotranslations,"Researcher/human rights activist | Director of Democratic Spaces (MA, Doctoral Studies @UoT). Standing up for freedom in 🇨🇺#Cuba 🇳🇮#Nicaragua 🇻🇪#Venezuela",Canada,5059,5193,25468,49,"#Cuba 
@RosaMariaPaya will give witness testimony in the US CONGRESS Subcommittee on the Western Hemisphere about the protests in Cuba &amp; provide concrete steps on ways the United States can support the people of Cuba in their cries for Freedom. 
#Canada  
https://t.co/lcVUzCj2MY","['Cuba', 'Canada']"
2149,2021-07-19 23:27:36,_chillrich,I tweet and I know things,"Detroit, MI",526,685,93622,476,Someone’s stance on Cuba is an important &amp; useful litmus test for those who identify as being on the left: it separates liberals from those who actually believe in the necessity of fundamentally transforming society and all the difficulties and complexities that process entails.,[]
2150,2021-07-19 23:27:36,JordanKelley51,"Be a Christian first, take care of your family second, then everything else falls into place! Thoughts and comments are my own.","Murfreesboro, TN",507,184,1509,1,"I have a prediction, may not be too off base here.. I predict a world war where it is citizen against government. Not between nations, but citizens of nations joining together and fighting governments.

If you think it won’t happen, look at London, Greece, and Cuba. We are there.",[]
2151,2021-07-19 23:27:35,MalleusMDiv,"Advertencia: Bautista Inconformista. Miqueas 6:8. Amós 5:24. #SOSNICARAGUA. Teología, Música, Henry Cavill. Y lo que me de la gana. #NiUnaMenos.",Eben-Ezer ,793,323,24791,3,"What’s so annoying is how these students applaud Boot licking boots, after @MariantonietaCh  gave her testimony .
I can count how many times academic institutions have ignored me, when it came with a Nicaragua, and they do it too with Venezuela and Cuba. https://t.co/vLafCLMMxK",[]
2152,2021-07-19 23:27:35,VsemHren,,,1088,85,4090,0,"@Canadian_logic_ @tellcarl2 @TPostMillennial All of it combined to the tune of $1 billion annually. Impressive.

Taiwan's total exports in 2019 fell to 329.34 billion U.S. dollars.

Go ahead, tell me how different the situations of Cuba and Taiwan are. Be creative.",[]
2153,2021-07-19 23:27:33,SEVomHofe,"Engineer, Musician, Marksman. 7mm rifle enthusiast. Leo Fender fan. Degrees in Biology & Electrical Engineering. Card-carrying member of #TeamReality.",Southern PA,529,271,40661,11,"Today’s @clayandbuck talks stocks falling on new covid fears, Cuba insanity, &amp; Black Rifle NYT controversy with CEO Evan Hafer. Go listen, subscribe, and rate us: https://t.co/k4qaAaq5Yn",[]
2154,2021-07-19 23:27:33,JackBlaine3,Christian. Married to my best friend 💕 U.S. Army Veteran 🇺🇸 Retired IT Consultant 💻 I Stand with Israel 🇮🇱 Constitutional Traditionalist 🇺🇸,"Arizona, USA",21083,19327,115839,32,"""Sniper's Fact Time""
-Democrats want to defund police
-Republicans voted 100% ""yes"" and Dems ""No"" to abolish slavery
-Cuba is a communist regime
-BLM cares nothing about black lives, especially children
-DJT won, JB and Co. cheated
-You aren't free; haven't been
-Wait-n-C
#check https://t.co/UwbHqNwPJl",[]
2155,2021-07-19 23:27:32,ChulitaGaby,"I came here to fuck shit up
I don't affiliate myself with any political views.",Nowhere,53,47,262,0,"@Malagraves @dani_clarinda And when I say freed the slavery I dont mean the plantation slaves who were abolished in cuba in 1886, Im talking about slaves under the the corrupt goverment of Bautista just to go be slaves to communist when Castro came in power 😬",[]
2156,2021-07-19 23:27:32,yelenablanco2,Dentist 🦷,,112,30,1258,59,"Please opening of a Consular Office in Cuba. We need a solution for our legal immigration process #CFRP #continueCFRP  #FamiliesBelongTogether  #havanasyndrome #CAMAFS  #Cubanfamiliesmatter  #JULY19WashingtonDC #emergencyhelp #humanitarianhelp
@POTUS

@Cartajuanero

@Menendez","['CFRP', 'continueCFRP']"
2157,2021-07-19 23:27:31,monitteh,"Life is what you make it. Life is good. 
Have 3 sons. Married to veteran. Not looking for a relationship or romance.","Mount Pleasant, TX",5081,5236,108137,10736,"Why is Joe Biden’s administration working to lie about what’s happening in #Cuba? 

Because they don’t want Americans,—who are seeing the beginning of totalitarian oppressions—to recognize what’s around the corner if we don’t stand up to their blatant corruption.",['Cuba']
2158,2021-07-19 23:27:31,MacroViewDan,"Opinions Only NOT Trading Advice

Consulting Engineer",,423,604,7356,14,"""What has destroyed Cuba is communism. A destructive and wasteful dictatorial regime... The inexistent blockade is a lie that serves as an excuse to whitewash the dictatorship.""

Read Daniel Lacalle's @dlacalle_IA latest guest piece here:
https://t.co/YfAV7OhYXd",[]
2159,2021-07-19 23:27:31,DrMattPettway,Author of Cuban Literature in the Age of Black Insurrection. Spanish Prof. Literary Archeologist. Afro-Latin Americanist. Detroiter for Lyfe. Views my own.,,924,1145,3507,18,"Martin Delany's ""Blake; Or Huts of America"" was greatly inspired by the African struggle against slavery in Cuba. It also demonstrated the fact that many Africans in the diaspora at the time recognized that the struggle against slavery was an international one.",[]
2160,2021-07-19 23:27:30,DrMattPettway,Author of Cuban Literature in the Age of Black Insurrection. Spanish Prof. Literary Archeologist. Afro-Latin Americanist. Detroiter for Lyfe. Views my own.,,924,1145,3507,10,"Yes, #MartinDelany recognized that fight for emancipation &amp; Black liberation was a global one. He made #BlackCuban poet #Plácido the protagonist in the black struggle for emancipation and freedom in Cuba.  #CubanLiteratureInTheAgeOfInsurrection discusses #MartinDelany. https://t.co/jBoEePt2Qj https://t.co/jtFckLGypT","['MartinDelany', 'BlackCuban', 'Plácido', 'CubanLiteratureInTheAgeOfInsurrection', 'MartinDelany']"
2161,2021-07-19 23:27:28,soy_javie,"Psicólogo, actor y locutor cubano. Columnista en CubainformaciónTV y administrador de la página La Otra Versión. Comprometido con la verdad de los pueblos.",,64,66,491,0,@FoxNews In Cuba these days there have been more demonstrations in favor of the government than against. Why don't they talk about the discomfort caused by the US embargo in the lives of Cuban families?,[]
2162,2021-07-19 23:27:28,RPMSports18,"Everything happens for a reason, but sometimes the reason is you’re stupid and make bad decisions.",Below Sea Level ,2022,2536,718113,420,"Here in Del Rio, it’s not just migrants from the Northern triangle countries crossing the border. This group of men told me they’re from Ghana. Another group told me they’re from Haiti. Others from Cuba &amp; Venezuela. Many tell us they want new lives in the U.S. @FoxNews https://t.co/T0TY10ivgz",[]
2163,2021-07-19 23:27:27,YudisbelB,Mis hijos,"Florida, USA",134,98,9349,42,As USA citizens we ask that this administration HELP US find an EMERGENCY solution for our families in Cuba that have paid and completed processes to come to the USA. WE ARE SCARED FOR THEIR LIVES! WE NEED HELP PLEASE! #CFRP #continueCFRP  #FamiliesBelongTogether  #havanasyndrome,[]
2164,2021-07-19 23:27:26,LizLife1,"in USA. Occasionally USE Twitter. Main Concerns .Pre-Born, Families, true health of ALL. Behind NRLC, EPC. NOW in Nursing School. Prior Business Owner, Veteran.","New York, NY",273,193,9293,685,"Across its major cities and especially in Havana, #Cuba is now in a de facto state of martial law with security forces staged to intimidate &amp; prevent mass gatherings.",['Cuba']
2165,2021-07-19 23:27:25,YudisbelB,Mis hijos,"Florida, USA",134,98,9349,78,"Now more than ever our families need help to leave from Cuba’s We fear for their lives,we are scared of what will happen to them because they have documents to leave to USA #CFRP #continueCFRP  #FamiliesBelongTogether  #havanasyndrome #CAMAFS  #Cubanfamiliesmatter #emergencyhelp",[]
2166,2021-07-19 23:27:24,jonstall2020,Socialist,,4668,5067,16448,48,"Last week, Twitter hyped Cuba protests and downplayed Haiti assassination. Today, Twitter is hyping China story and downplaying Israeli firms spying. Story selection is most powerful form of bias. https://t.co/OA61IqMJ5h",[]
